Question No,Question,Option A,Option B,Option C,Option D,Correct Answer
757,"If 25% of a number is 45, then the number is?",160,170,175,180,
758,"The average of 6 numbers is 18. If one number is removed, the average becomes 20. Find the removed number.",6,8,10,12,
759,The cost price of 15 oranges is equal to the selling price of 12 oranges. Find the gain percentage.,20%,22%,25%,30%,
760,"A man can do a work in 12 days, but with the help of his son, he can do it in 8 days. In how many days can the son alone do the work?",18 days,20 days,22 days,24 days,
761,"If 3 men can do a work in 20 days, how many men are required to do the same work in 12 days?",4,5,6,7,
762,The average of 5 consecutive even numbers is 46. Find the largest number.,48,50,52,54,
763,The difference between two numbers is 15 and their sum is 75. Find the numbers.,30 and 45,25 and 50,20 and 55,15 and 60,
764,A train 200 m long passes a platform 300 m long in 30 seconds. Find its speed.,50 km/h,60 km/h,70 km/h,72 km/h,
765,"If the cost of 8 pens is equal to 12 pencils, and 3 pens cost ₹15, then the cost of 10 pencils is?",₹10,₹12,₹15,₹18,
766,"A shopkeeper buys a toy for ₹400 and marks it at 25% above cost price. If he allows a discount of 10%, find his profit.",₹30,₹40,₹50,₹60,
767,"A man saves 20% of his income. If his monthly expenditure is ₹12,000, find his income.","₹14,000","₹15,000","₹16,000","₹15,500",
768,"The average age of 30 students is 12 years. If the teacher’s age is included, the average increases by 1. Find the teacher’s age.",41,42,43,44,
769,A train passes a 150 m long platform in 25 seconds at 54 km/h. Find the length of the train.,150 m,200 m,250 m,300 m,
770,The sum of two numbers is 100 and their HCF is 20. Find the numbers if their LCM is 500.,"20, 80","40, 60","50, 50","25, 75",
771,The selling price of 5 articles is equal to the cost price of 6 articles. Find the loss percentage.,14%,16%,18%,20%,
772,"If 8 men can complete a work in 15 days, how many men are required to complete it in 10 days?",10,11,12,13,
773,"The cost of 20 apples is equal to the cost of 25 oranges. If the cost of an apple is ₹8, find the cost of an orange.",₹5,₹6,₹7,₹8,
774,A shopkeeper gains 12% after allowing a discount of 20% on marked price. Find the marked price of an article whose cost price is ₹800.,₹1100,₹1200,₹1250,₹1300,
775,The average of 4 consecutive odd numbers is 24. Find the smallest number.,19,21,23,25,
776,"The speed of a boat in still water is 10 km/h, and the speed of the stream is 2 km/h. Find the time taken to travel 24 km downstream.",1.5 h,2 h,2.5 h,3 h,
777,"A shopkeeper sells an article at a gain of 10%. If he had sold it for ₹20 more, the gain would have been 20%. Find the cost price.",₹100,₹150,₹200,₹250,
778,The sum of two consecutive odd numbers is 56. Find the numbers.,27 and 29,25 and 27,29 and 31,23 and 25,
779,"If 20% of x = 30% of y, then x : y = ?",2:3,3:2,4:5,5:4,
780,A train of length 180 m crosses a man walking at 6 km/h in 12 seconds. Find the speed of the train.,48 km/h,54 km/h,60 km/h,66 km/h,
781,"A man spends 40% of his salary on rent and 20% on food. If he saves ₹12,000, his salary is?","₹20,000","₹25,000","₹30,000","₹35,000",
782,"If the average of 5 numbers is 30, what will be the new average if each number is multiplied by 2?",60,62,65,70,
783,A train covers a distance of 360 km at 90 km/h. Time taken is?,3 h,3.5 h,4 h,4.5 h,
784,"The average of 50 numbers is 38. If two numbers, 45 and 55, are removed, the average of remaining numbers is?",37.5,38,38.2,38.5,
785,"A tank can be filled in 40 minutes. Due to a leak, it takes 50 minutes. The leak can empty the full tank in?",100 min,200 min,400 min,500 min,
786,"If 12% of a number is 48, find the number.",300,350,400,450,
787,"The marked price of an item is ₹250. After allowing a discount of 10%, the shopkeeper still makes a profit of 12%. Find the cost price.",₹190,₹200,₹210,₹220,
788,"The average of 20 numbers is 15. Later, it was found that one number 18 was misread as 8. Find the correct average.",15.3,15.4,15.5,15.6,
789,"The speed of a boat in still water is 15 km/h. If the speed of stream is 5 km/h, the boat takes how much time to go 60 km upstream?",4 h,5 h,6 h,8 h,
790,The sum of three consecutive multiples of 7 is 105. Find the numbers.,"31, 32, 33","33, 34, 35","35, 36, 37",None,
791,"If 5x = 4y, find x:y.",4:5,5:4,1:2,2:1,
792,A sells a product for ₹450 and suffers a 10% loss. What is the cost price?,₹460,₹470,₹480,₹500,
793,"The average of 6 numbers is 30. If a new number is added, the average becomes 32. Find the new number.",40,42,44,46,
794,"If 10 men can finish a work in 21 days, how long will 7 men take?",25 days,27 days,28 days,30 days,
795,A train 400 m long passes a signal post in 20 seconds. Find its speed.,60 km/h,72 km/h,80 km/h,90 km/h,
796,"If the CP is ₹500 and SP is ₹650, find the profit percent.",20%,25%,28%,30%,
797,A person invests ₹5000 at 8% simple interest for 3 years. Find the total amount.,₹6000,₹6200,₹6400,₹6500,
798,"The average age of 5 children is 12 years. If a new child joins, the average increases to 13 years. Find the age of the new child.",17,18,19,20,
799,"If the selling price is 120% of the cost price, then profit percent is?",15%,18%,20%,25%,
800,A train leaves a station at 6 pm at 60 km/h. Another train leaves at 7 pm at 75 km/h. When will the second train overtake the first?,9 pm,10 pm,11 pm,12 pm,
801,A student scored 480 marks out of 600. What percentage did he score?,70%,75%,78%,80%,
802,A mixture of 60 liters contains 20% alcohol. How much alcohol must be added to make the solution 30%?,10L,12L,14L,15L,
803,A sum of money trebles itself in 15 years at simple interest. Find the rate.,10%,12%,13.33%,15%,
804,"A person saves 25% of his income. If his expenditure is Rs. 15,000, what is his income?","Rs. 18,000","Rs. 20,000","Rs. 22,000","Rs. 24,000",
805,"The ratio of speeds of two trains is 3:5. If the first covers 120 km in 2 hours, what is the speed of the second?",90 km/h,100 km/h,120 km/h,150 km/h,
806,"If the cost price of 12 pens is equal to selling price of 10 pens, what is the profit %?",10%,15%,20%,25%,
807,"A tank can be filled in 10 minutes and emptied in 15 minutes. If both pipes are opened, how long will it take to fill the tank?",20 min,25 min,30 min,35 min,
808,"If the average of 7 numbers is 35, what is the sum of the numbers?",230,240,245,250,
809,The length of a train is 120 m. It crosses a platform in 30 seconds at a speed of 54 km/h. Find length of platform.,200m,250m,280m,300m,
810,"The selling price of an article is Rs. 1,200 at 20% profit. Find the cost price.",Rs. 900,Rs. 950,"Rs. 1,000","Rs. 1,050",
811,"If 15 men can complete a wall in 48 days, in how many days will 30 men complete it?",20,22,24,26,
812,A boat goes 12 km downstream in 3 hours and returns upstream in 4 hours. Find speed of boat in still water.,2 km/h,3 km/h,3.5 km/h,4 km/h,
813,A train 90m long passes a man walking at 6 km/h in 10 seconds. Find train speed.,24 km/h,36 km/h,54 km/h,60 km/h,
814,"The average marks of 30 students is 45. If teacher's marks are included, average increases to 46. Find teacher's marks.",65,70,75,80,
815,The perimeter of a rectangle is 60 cm and breadth is 12 cm. Find length.,15,18,20,22,
816,"A man invests Rs. 25,000 at 12% per annum compound interest. Find amount after 2 years.","Rs. 30,800","Rs. 31,250","Rs. 31,360","Rs. 31,500",
817,The difference between 58% of a number and 42% of the same number is 128. Find the number.,600,700,800,900,
818,"The LCM of two numbers is 480 and HCF is 12. If one number is 60, find the other.",80,90,96,120,
819,"A tank can be filled in 8 hours by a pipe and emptied in 12 hours by a drain. If both are open, in how many hours will it be filled?",18h,20h,24h,30h,
820,"The sum of present ages of A and B is 60. If A is twice B’s age, what is A’s age?",30,35,40,45,
821,A trader allows 10% discount on goods and still gains 20%. Find cost price of article marked at Rs. 600.,Rs. 400,Rs. 420,Rs. 450,Rs. 480,
822,"A sum of Rs. 1,000 amounts to Rs. 1,331 in 3 years at compound interest. Find rate.",8%,9%,10%,11%,
823,A train covers 180 km in 3 hours and next 120 km in 2 hours. Find average speed.,50,54,60,64,
824,"If 15 men can build a wall in 36 days, how many men are required to build it in 24 days?",18,20,22,24,
825,A horse worth Rs. 900 is sold for Rs. 810. Find loss percent.,8%,9%,10%,12%,
826,The difference of two numbers is 15 and their sum is 75. Find the numbers.,"30, 45","25, 50","20, 55","35, 40",
827,A shopkeeper sold a shirt at Rs. 540 and incurred a loss of 10%. What is the cost price?,Rs. 580,Rs. 600,Rs. 620,Rs. 650,
828,A boat covers 12 km downstream in 2 hours and 8 km upstream in 2 hours. Find speed of current.,1 km/h,2 km/h,3 km/h,4 km/h,
829,"If the ratio of two numbers is 7:9 and their sum is 128, find the numbers.","56, 72","63, 81","54, 74","60, 68",
830,A train crosses a 200m long platform in 25 seconds at speed 54 km/h. Find the length of train.,150m,175m,200m,225m,
831,The simple interest on Rs. 5000 for 4 years at 5% per annum is?,Rs. 900,Rs. 1000,Rs. 1100,Rs. 1200,
832,"If 8 men can complete a work in 20 days, in how many days will 16 men complete the same work?",5,8,10,12,
833,A sum of Rs. 6000 amounts to Rs. 7200 in 2 years at compound interest. Find rate of interest.,8%,9%,10%,12%,
834,A train passes a man standing on a platform in 7 seconds. Length of train is 210m. Find speed.,90 km/h,100 km/h,108 km/h,120 km/h,
835,"The average of 25 numbers is 36. If 45 is added, the new average is?",36.2,36.4,36.6,36.8,
836,A person bought an article for Rs. 2000 and sold it at 15% gain. What is the selling price?,Rs. 2200,Rs. 2250,Rs. 2300,Rs. 2400,
837,A pipe can fill a tank in 15 hours. Another pipe can fill it in 20 hours. How long will both take together?,8h 20m,8h 34m,8h 40m,9h,
838,The perimeter of a square is 64 cm. Find its area.,128 cm²,144 cm²,256 cm²,320 cm²,
839,A sum of Rs. 5000 becomes Rs. 6050 in 3 years at simple interest. Find rate.,6%,7%,8%,9%,
840,A train 180m long crosses another 120m train running opposite at 90 km/h in 9 seconds. Find speed of first train.,72 km/h,81 km/h,90 km/h,108 km/h,
841,"A shopkeeper allows 12% discount and still gains 20%. If SP is Rs. 880, find CP.",Rs. 600,Rs. 650,Rs. 700,Rs. 750,
842,"The average of 10 numbers is 45. If one number is 55, what is average of remaining?",43.5,44,44.5,45.5,
843,"The sum of ages of A and B is 50. After 10 years, ratio will be 7:6. Find B's age.",20,22,24,26,
844,A train 90m long crosses a pole in 10 seconds. Find speed.,24 km/h,30 km/h,32.4 km/h,36 km/h,
845,A sum amounts to Rs. 1200 in 2 years at 10% CI. Find principal.,Rs. 1000,Rs. 1050,Rs. 1100,Rs. 1150,
846,"If CP = Rs. 120 and SP = Rs. 150, what is profit %?",20%,22%,25%,30%,
847,"A tap fills a tank in 36 min, another empties it in 54 min. Together they fill in?",72 min,108 min,162 min,216 min,
848,"The average of 8 numbers is 25. If each increased by 2, new average is?",26,27,28,29,
849,A trader bought 400 pens at Rs. 10 each. He sold half at 20% profit and half at 10% loss. Overall gain/loss?,2% gain,2% loss,5% gain,5% loss,
850,A person covers 120 km at 40 km/h and returns at 60 km/h. Average speed?,48 km/h,50 km/h,52 km/h,54 km/h,
851,The difference between SI and CI on Rs. 5000 for 2 years at 5% is?,Rs. 10,Rs. 12.50,Rs. 15,Rs. 20,
852,A train 250m long crosses a man walking at 5 km/h in 30 sec. Speed of train?,25 km/h,30 km/h,35 km/h,40 km/h,
853,A sum becomes Rs. 980 in 2 years and Rs. 1200 in 5 years at SI. Find principal.,Rs. 700,Rs. 720,Rs. 740,Rs. 750,
854,The average weight of 40 students is 50 kg. A student weighing 55 kg replaced by another 45 kg. New average?,49.5,49.75,50,50.25,
855,"If SP = Rs. 840 at 20% loss, find CP.",Rs. 1000,Rs. 1050,Rs. 1100,Rs. 1200,
856,A boat covers 20 km downstream in 2 hours and upstream in 4 hours. Speed of boat?,5 km/h,6 km/h,7 km/h,8 km/h,
857,The difference between two numbers is 24 and their LCM is 180. Find the numbers.,"12, 36","18, 42","30, 54","36, 60",
858,A train 180m crosses a platform in 20s at 54 km/h. Find length of platform.,120m,150m,180m,200m,
859,"A man spends 80% of his income. If his income is Rs. 4000, what is his saving?",Rs. 600,Rs. 700,Rs. 800,Rs. 900,
860,A sum of Rs. 1600 amounts to Rs. 1760 in 2 years at SI. Rate?,4%,5%,6%,7%,
861,"If CP of 15 books = SP of 12 books, profit %?",20%,22.5%,25%,30%,
862,A train 180m crosses a tree in 15s. Speed?,36 km/h,42 km/h,43.2 km/h,45 km/h,
863,The average of first 10 odd numbers is?,9,10,11,12,
864,A trader gains 25% after allowing 20% discount. Marked price Rs. 1000. CP?,Rs. 600,Rs. 625,Rs. 650,Rs. 700,
865,"If 24 men can build a wall in 15 days, how many men build in 10 days?",30,32,34,36,
866,A train 150m long crosses another train 100m in 10s opposite at speed ratio 3:2. Faster train speed?,54 km/h,60 km/h,72 km/h,90 km/h,
867,A sum of Rs. 1200 becomes Rs. 1728 in 2 years at CI. Find rate.,18%,20%,22%,24%,
868,The average marks of 6 students is 50. If 5 more join average becomes 55. Find marks of new students.,50,55,60,65,
869,"If SP = Rs. 690 at 15% profit, find CP.",Rs. 580,Rs. 590,Rs. 600,Rs. 620,
870,"Two numbers are in ratio 5:7. If difference is 24, find numbers.","60, 84","65, 89","66, 90","70, 94",
871,A train 240m crosses a platform 360m in 60s. Speed?,30 km/h,36 km/h,40 km/h,42 km/h,
872,The difference between SI and CI on Rs. 2000 for 2 years at 5% is?,Rs. 5,Rs. 10,Rs. 15,Rs. 20,
873,"If CP of 20 articles = SP of 16, profit %?",20%,22%,24%,25%,
874,"The average of 12 numbers is 42. If one number is 30, find average of remaining.",42.5,43,43.5,44,
875,A sum of Rs. 5000 becomes Rs. 5832 in 2 years at CI. Rate?,8%,10%,12%,14%,
876,"A can finish a work in 12 days, B can finish it in 18 days. Working together, in how many days will they finish the work?",6 days,7.2 days,8 days,9 days,
877,"The cost price of an article is ₹500. If it is sold at a profit of 20%, what is the selling price?",₹550,₹600,₹700,₹750,
878,A train 120 meters long crosses a pole in 12 seconds. What is the speed of the train?,10 m/s,12 m/s,15 m/s,20 m/s,
879,"If 30% of a number is 60, what is the number?",150,180,200,220,
880,"The ratio of ages of Ram and Shyam is 3:5. If Ram is 15 years old, what is Shyam’s age?",20 years,22 years,25 years,27 years,
881,"If the simple interest on ₹4000 for 3 years is ₹1200, what is the rate of interest per annum?",5%,8%,10%,12%,
882,A boat goes 20 km downstream in 2 hours and returns the same distance upstream in 5 hours. What is the speed of the boat in still water?,6 km/h,7 km/h,8 km/h,9 km/h,
883,"The average of 5 numbers is 18. If one number is removed, the average becomes 16. What is the removed number?",20,22,25,30,
884,"A trader sells an article at a loss of 10%. If the selling price is ₹450, what is the cost price?",₹470,₹490,₹500,₹520,
885,"If 4 men can complete a work in 12 days, how many men are required to complete it in 6 days?",6,7,8,9,
886,"The sum of present ages of a father and his son is 50 years. If the father is 30 years older than his son, what is the son’s age?",8 years,10 years,12 years,15 years,
887,"If a car covers 360 km in 6 hours, what is its average speed?",50 km/h,55 km/h,60 km/h,65 km/h,
888,The selling price of 12 apples is equal to the cost price of 15 apples. What is the profit percentage?,20%,25%,30%,35%,
889,"If the population of a town is 20000 and it increases by 10% every year, what will be the population after 2 years?",22000,24000,24200,25000,
890,A train 150 meters long crosses a platform 350 meters long in 25 seconds. What is the speed of the train?,18 m/s,20 m/s,22 m/s,24 m/s,
891,"If a number is divided by 7, the remainder is 3. What will be the remainder if the same number is divided by 14?",0,3,7,10,
892,A man spends 60% of his income and saves ₹4000. What is his income?,₹8000,₹9000,₹10000,₹12000,
893,Two numbers are in the ratio 4:5. Their sum is 180. What is the smaller number?,70,72,80,90,
894,"If the perimeter of a square is 64 cm, what is its area?",128 cm²,144 cm²,256 cm²,512 cm²,
895,A person’s salary is increased by 20% and then decreased by 20%. What is the net effect?,2% increase,2% decrease,No change,4% decrease,
896,"The average of 40 numbers is 50. If two numbers 45 and 55 are removed, what is the new average?",50,49.5,49.75,49,
897,A man can row 30 km downstream in 3 hours and return the same distance upstream in 6 hours. What is the speed of the current?,2 km/h,2.5 km/h,3 km/h,4 km/h,
898,"A box contains 5 red, 3 blue, and 2 green balls. One ball is drawn at random. What is the probability of getting a red ball?",1/2,1/3,1/4,1/5,
899,"If the cost price is 85% of the selling price, then the profit percentage is?",15%,17.65%,18%,20%,
900,"A can do a piece of work in 10 days, B can do it in 15 days. They work together for 5 days, then A leaves. In how many more days will B finish the work?",2,3,4,5,
901,"A can complete a work in 8 days, B in 12 days. Working together, how many days will they take?",4.5,5,6,7,
902,Which data structure follows Last In First Out (LIFO)?,Queue,Stack,Heap,Graph,
903,What does HTML stand for?,Hyperlinks and Text Markup Language,Hyper Text Markup Language,Home Tool Markup Language,Hyperlinking Text Management Language,
904,Which OOP principle is followed when a child class uses methods of parent class?,Encapsulation,Polymorphism,Inheritance,Abstraction,
905,Which of the following is a primary key in DBMS?,A unique identifier of a record,Any column in a table,Duplicate values allowed,Temporary key,
906,"In Networking, which device operates at the Data Link Layer?",Switch,Router,Hub,Repeater,
907,Which scheduling algorithm is also called First Come First Serve?,Round Robin,Shortest Job First,FCFS,Priority Scheduling,
908,Choose the correct spelling:,Accomodate,Acommodate,Accommodate,Acomodete,
909,If 'Some dogs are cats. All cats are animals.' Which statement is true?,All dogs are animals,Some animals are cats,No cats are animals,All cats are dogs,
910,Ravi is the brother of Sita. Sita is the mother of Anil. How is Ravi related to Anil?,Father,Brother,Uncle,Grandfather,
911,"If the selling price of an article is ₹600 with a 20% gain, what is the cost price?",₹450,₹480,₹500,₹520,
912,Which sorting algorithm has the best average case time complexity?,Quick Sort,Bubble Sort,Selection Sort,Merge Sort,
913,CSS stands for?,Creative Style System,Cascading Style Sheets,Color Style Selector,Coded Sheet Styles,
914,Polymorphism in OOPs means?,One name many forms,Data hiding,Multiple inheritance only,Overriding disallowed,
915,"In DBMS, which SQL keyword is used to remove a record?",REMOVE,DELETE,CLEAR,DROP,
916,Which IP address class provides 16 million hosts?,Class A,Class B,Class C,Class D,
917,Which OS concept prevents multiple processes from interfering?,Deadlock,Scheduling,Process Synchronization,Swapping,
918,Find the synonym of 'Abundant':,Scarce,Plentiful,Rare,Limited,
919,If 'All flowers are plants. Some plants are trees.' What can be concluded?,All plants are flowers,Some plants are flowers,All flowers are trees,No relation,
920,"If Mohan is the son of Ramesh’s brother, how is Mohan related to Ramesh?",Son,Brother,Nephew,Cousin,
921,"The average of 6 numbers is 25. If one number is removed, average becomes 24. What is the removed number?",24,25,30,31,
922,Queue follows which principle?,LIFO,FIFO,Random,Priority,
923,Which tag is used for the largest heading in HTML?,<h1>,<h2>,<h6>,<head>,
924,Encapsulation in OOPs is?,Wrapping data and methods together,Using same method names,Hiding implementation only,Overloading functions,
925,Which normal form removes partial dependency?,1NF,2NF,3NF,BCNF,
926,"In Networking, which protocol is used to send emails?",SMTP,HTTP,FTP,SNMP,
927,Which OS concept ensures CPU is fairly shared?,Paging,Time Sharing,Deadlock Prevention,Virtual Memory,
928,Choose the antonym of 'Expand':,Increase,Reduce,Widen,Lengthen,
929,Statement: 'All books are pens. All pens are pencils.' Conclusion?,All books are pencils,All pencils are books,Some books are pencils,Both 1 and 3,
930,"If Suresh is father of Rohan, and Rohan is brother of Tina, how is Tina related to Suresh?",Daughter,Sister,Niece,Cousin,
931,A trader buys an article for ₹400 and sells it for ₹500. What is profit percentage?,20%,22%,25%,30%,
932,"Which traversal visits root, left, right in binary tree?",Inorder,Preorder,Postorder,Level order,
933,Which attribute in <img> tag specifies image path?,src,alt,path,link,
934,"In OOPs, function overloading is?","Same function name, different parameters","Same function name, same parameters","Different class, same function",None,
935,Which SQL command is used to fetch data?,SELECT,EXTRACT,DISPLAY,FETCH,
936,Which protocol is used to transfer files over Internet?,FTP,SMTP,HTTP,POP3,
937,"In OS, which is a non-preemptive scheduling algorithm?",FCFS,Round Robin,SJF (preemptive),Priority (preemptive),
938,Find the synonym of 'Rapid':,Slow,Fast,Dull,Weak,
939,If 'All doctors are humans. Some humans are engineers.' Which is true?,Some engineers are doctors,All doctors are engineers,All humans are doctors,Some humans are engineers,
940,Rahul is the cousin of Neha. Neha is the sister of Karan. How is Rahul related to Karan?,Brother,Cousin,Uncle,Nephew,
941,The average of 3 consecutive odd numbers is 27. What is the largest number?,27,29,31,33,
942,Which is not a linear data structure?,Array,Stack,Queue,Tree,
943,Which HTML tag inserts a line break?,<break>,<lb>,<br>,<line>,
944,Abstraction in OOPs is?,Showing essential features only,Wrapping data,Same method many forms,Code duplication,
945,Which SQL clause groups rows with same values?,GROUP BY,ORDER BY,HAVING,JOIN,
946,"In Networking, IP address 192.168.0.1 belongs to?",Public IP,Private IP,Class A,Broadcast Address,
947,Which OS concept uses secondary storage as extension of RAM?,Paging,Virtual Memory,Swapping,Segmentation,
948,Choose the antonym of 'Ancient':,Old,Historic,Modern,Past,
949,If 'All squares are rectangles. All rectangles are polygons.' Which is true?,All squares are polygons,All polygons are rectangles,Some polygons are squares,Both 1 and 3,
950,Priya is the sister of Amit. Amit is the father of Reena. How is Priya related to Reena?,Mother,Sister,Aunt,Cousin,
951,"If the average of 5 numbers is 20, what is their total sum?",100,120,80,60,
952,Which HTML tag is used to insert an image?,<image>,<img>,<src>,<picture>,
953,Which data structure follows FIFO?,Stack,Queue,Tree,Graph,
954,Who developed the C programming language?,Bjarne Stroustrup,James Gosling,Dennis Ritchie,Guido van Rossum,
955,The wife of your brother is your?,Sister,Sister-in-law,Aunt,Cousin,
956,"In DBMS, which key uniquely identifies a record?",Primary Key,Foreign Key,Candidate Key,Composite Key,
957,Which scheduling algorithm may cause starvation?,FIFO,SJF,Round Robin,Priority,
958,"Find the next term: 2, 6, 12, 20, ?",28,30,32,34,
959,Which of the following is NOT an OOPs principle?,Encapsulation,Polymorphism,Abstraction,Compilation,
960,Choose the synonym of 'Rapid':,Slow,Fast,Weak,Lazy,
961,What is the remainder when 121 is divided by 11?,0,1,10,11,
962,Which protocol is used to fetch emails from server?,HTTP,SMTP,POP3,FTP,
963,RAM is a type of?,Permanent Memory,Volatile Memory,Secondary Memory,Optical Memory,
964,Which sorting algorithm is stable?,Quick Sort,Merge Sort,Heap Sort,Selection Sort,
965,"If P is father of Q and Q is father of R, then P is what to R?",Father,Grandfather,Uncle,Cousin,
966,Which SQL command is used to remove a table?,DELETE,REMOVE,DROP,TRUNCATE,
967,Which OS is open-source?,Windows,Linux,MacOS,MS-DOS,
968,"If a train runs 60 km in 1 hour, how much time will it take to run 150 km?",1 hour,2 hours,2.5 hours,3 hours,
969,Which keyword in Java is used to inherit a class?,this,super,extends,implements,
970,Choose the antonym of 'Ancient':,Old,Modern,Past,Early,
971,The sum of angles of a triangle is?,90°,120°,180°,360°,
972,Which HTML tag is used to create a hyperlink?,<link>,<href>,<a>,<h>,
973,Which data structure is best for Depth First Search?,Queue,Stack,Array,Heap,
974,Who is known as the father of C++?,Dennis Ritchie,James Gosling,Bjarne Stroustrup,Ken Thompson,
975,What is your mother’s mother called?,Grandmother,Aunt,Sister,Niece,
976,Which clause is used to filter records in SQL?,WHERE,HAVING,GROUP BY,ORDER BY,
977,Round Robin scheduling is designed for?,Batch Systems,Time Sharing Systems,Real Time Systems,Single User Systems,
978,Choose the correct spelling:,Enviroment,Environment,Environmment,Envirnment,
979,Which function is used to find length of string in C?,len(),length(),strlen(),size(),
980,Which is NOT a NoSQL database?,MongoDB,Redis,MySQL,Cassandra,
981,A CPU executes instructions stored in?,RAM,Hard Disk,ROM,Cache,
982,"Which traversal visits left subtree, root, then right subtree?",Preorder,Postorder,Inorder,Level order,
983,Which CSS property is used to change text color?,font-color,text-color,color,background-color,
984,"If A is sister of B and B is mother of C, what is A to C?",Sister,Aunt,Cousin,Grandmother,
985,Which SQL command is used to sort the result?,SORT BY,ORDER,ORDER BY,GROUP BY,
986,Which memory is faster?,Cache,RAM,Hard Disk,ROM,
987,"If the average of 4 numbers is 25, what is their sum?",50,75,100,125,
988,"In Java, which keyword is used to define a constant variable?",const,static,final,constant,
989,Choose the synonym of 'Brave':,Weak,Cowardly,Courageous,Lazy,
990,Which sorting algorithm has O(n^2) worst case?,Merge Sort,Quick Sort,Heap Sort,Insertion Sort,
991,Which HTML tag is used for largest heading?,<h1>,<h6>,<head>,<title>,
992,What is the smallest unit of data in a computer?,Byte,Bit,Word,Nibble,
993,Which is not a programming language?,Python,Java,HTML,C++,
994,Choose the antonym of 'Begin':,Start,Open,Finish,Go,
995,Which DBMS language is used for querying?,DDL,DCL,DML,TCL,
996,Which of these is an example of open-source OS?,Windows,Linux,MacOS,Solaris,
997,What is 15% of 200?,20,25,30,35,
998,Which principle hides internal details in OOP?,Abstraction,Inheritance,Encapsulation,Polymorphism,
999,Who invented Python?,James Gosling,Bjarne Stroustrup,Guido van Rossum,Dennis Ritchie,
1000,"If 12 pens cost 60, what is cost of 5 pens?",20,25,30,35,
1001,A train 240 m long passes a pole in 12 seconds. Find the speed of the train in km/hr.,60 km/hr,72 km/hr,80 km/hr,90 km/hr,72 km/hr
1002,"If MONDAY is coded as ONMYAD, how is FRIDAY coded?",IRFDYA,RIFDYA,RIFDYY,RIFDAY,RIFDYA
1003,What is the time complexity of inserting an element at the beginning of a singly linked list?,O(1),O(n),O(log n),O(n²),O(1)
1004,The compound interest on Rs. 3000 for 2 years at 8% per annum is:,Rs. 499.20,Rs. 480,Rs. 520,Rs. 540,Rs. 499.20
1005,Which of the following is NOT a primitive data type in C++?,int,char,string,float,string
1006,Choose the antonym of 'Benevolent':,Kind,Generous,Malevolent,Charitable,Malevolent
1007,Which scheduling algorithm gives minimum average waiting time?,FCFS,SJF,Round Robin,Priority,SJF
1008,"A person invests Rs. 12000 in two schemes. In scheme A at 10% per annum and in scheme B at 12% per annum. If the total interest after one year is Rs. 1280, find the amount invested in scheme A.",Rs. 4000,Rs. 5000,Rs. 6000,Rs. 8000,Rs. 8000
1009,Which of the following algorithms uses divide and conquer approach?,Bubble Sort,Selection Sort,Merge Sort,Insertion Sort,Merge Sort
1010,"Complete the series: 3, 7, 15, 31, 63, ?",127,125,120,135,127
1011,Which of the following is NOT a type of join in SQL?,Inner Join,Outer Join,Cross Join,Nested Join,Nested Join
1012,"The average of 20 numbers is 35. If 5 is added to each number, what will be the new average?",35,40,45,50,40
1013,Which layer of the OSI model is responsible for end-to-end delivery?,Network Layer,Transport Layer,Session Layer,Presentation Layer,Transport Layer
1014,Choose the correct spelling:,Accomodation,Accommodation,Acommodation,Accomodation,Accommodation
1015,What is the output of the following Python code: print(5//2)?,2.5,2,3,Error,2
1016,A shopkeeper allows a discount of 10% on the marked price. What should be the marked price if the selling price is Rs. 450?,Rs. 500,Rs. 550,Rs. 495,Rs. 405,Rs. 500
1017,Which data structure is best suited for implementing a priority queue?,Array,Linked List,Stack,Heap,Heap
1018,"Find the odd one out: Dog, Cat, Lion, Car",Dog,Cat,Lion,Car,Car
1019,What is the function of a compiler?,Execute programs,Translate high-level code to machine code,Debug programs,Manage memory,Translate high-level code to machine code
1020,"If the ratio of boys to girls in a class is 3:2 and there are 15 boys, how many girls are there?",8,10,12,15,10
1021,Which SDLC model allows for iterative development?,Waterfall,V-Model,Spiral,Big Bang,Spiral
1022,Choose the synonym of 'Eloquent':,Silent,Fluent,Rough,Harsh,Fluent
1023,Which keyword is used to define a constant in Java?,const,final,static,immutable,final
1024,"A pipe can fill a tank in 6 hours and another pipe can empty it in 8 hours. If both pipes are opened, in how many hours will the tank be filled?",24 hours,20 hours,14 hours,12 hours,24 hours
1025,What is a semaphore used for?,Memory management,Process synchronization,File handling,I/O operations,Process synchronization
1026,"If A is to the north of B and C is to the east of B, then C is in which direction with respect to A?",North-East,South-East,North-West,South-West,South-East
1027,What is the worst-case time complexity of binary search?,O(1),O(log n),O(n),O(n log n),O(log n)
1028,Find the value of x: 3x + 7 = 22,5,6,7,8,5
1029,Which SQL command is used to retrieve data from a database?,INSERT,SELECT,UPDATE,DELETE,SELECT
1030,What is the default subnet mask for a Class C network?,255.0.0.0,255.255.0.0,255.255.255.0,255.255.255.255,255.255.255.0
1031,Choose the correct preposition: She is good ___ mathematics.,in,at,on,with,at
1032,What does OOP stand for?,Object Oriented Programming,Object Organized Programming,Optimized Object Programming,Open Object Programming,Object Oriented Programming
1033,The perimeter of a square is 40 cm. Find its area.,100 sq cm,80 sq cm,120 sq cm,160 sq cm,100 sq cm
